SOC_TITLE,cnt,pct
Software Developers,247332,31.48
Computer Systems Engineers/Architects,33925,4.32
Information Technology Project Managers,27819,3.54
Software Quality Assurance Analysts and Testers,26928,3.43
Data Scientists,26673,3.39
Computer Programmers,19091,2.43
Computer and Information Systems Managers,18843,2.4
Computer Systems Analysts,18165,2.31
Business Intelligence Analysts,17214,2.19
Mechanical Engineers,13256,1.69
Accountants and Auditors,12732,1.62
"Electronics Engineers, Except Computer",11516,1.47
Financial and Investment Analysts,11181,1.42
Operations Research Analysts,10258,1.31
Electrical Engineers,9992,1.27
Database Administrators,9981,1.27
Management Analysts,9042,1.15
"Medical Scientists, Except Epidemiologists",8129,1.03
Network and Computer Systems Administrators,7638,0.97
Industrial Engineers,7574,0.96
Civil Engineers,7108,0.9
Market Research Analysts and Marketing Specialists,6518,0.83
"Physicians, All Other",6154,0.78
Computer and Information Research Scientists,5854,0.75
Information Security Analysts,5805,0.74
Database Architects,5569,0.71
Financial Quantitative Analysts,4757,0.61
Biochemists and Biophysicists,4565,0.58
Project Management Specialists,4457,0.57
Statisticians,4353,0.55
Medical and Clinical Laboratory Technologists,3756,0.48
Sales Engineers,3534,0.45
"Elementary School Teachers, Except Special Education",3504,0.45
Architectural and Engineering Managers,3490,0.44
Validation Engineers,3391,0.43
"Health Specialties Teachers, Postsecondary",3307,0.42
Lawyers,3180,0.4
Computer Network Architects,3112,0.4
"Secondary School Teachers, Except Special and Career/Technical Education",3045,0.39
Chemists,3036,0.39
Manufacturing Engineers,3027,0.39
Marketing Managers,2813,0.36
Molecular and Cellular Biologists,2799,0.36
Materials Engineers,2725,0.35
Physical Therapists,2566,0.33
Hospitalists,2399,0.31
"Architects, Except Landscape and Naval",2340,0.3
"Business Teachers, Postsecondary",2256,0.29
Web and Digital Interface Designers,2218,0.28
Information Security Engineers,2199,0.28
